via,citta,n_campi,contatto_segreteria,gestione
Vicolo Ippazio,Roma,2,+39 07358946697,La Sapienza
Strada Vincenza,Roma,4,+39 377889100,La Sapienza
Rotonda Pier,Torino,8,333504165,Politecnico di Torino
Stretto Cignaroli,Trento,4,+39 042598525,Università di Trento 
Via Napoleone,Roma,6,3295425418,La Sapienza
Strada Benedetto,Milano,7,+39 052341934,Politecnico di Milano
Strada Bresciani,Padova,2,3770651841,Università di Padova
Strada Fabio,Milano,1,+39 042929319,Politecnico di Milano
Vicolo Cassarà,Padova,6,0187630291,Università di Padova
Vicolo Fabia,Milano,7,+39 04252978652,Politecnico di Milano
Piazza Emo,Padova,1,3716252012,Università di Padova
Vicolo Zola,Roma,8,0881903805,La Sapienza
Via Eugenia,Padova,3,0731763793,Università di Padova
Vicolo Solari,Padova,3,0183566137,Università di Padova
Canale Impastato,Torino,4,+39 0536536810,Politecnico di Torino
Via Barcaccia,Torino,8,+39 34081514829,Politecnico di Torino
Viale Telemaco,Roma,6,+39 36397024571,La Sapienza
Stretto Ranieri,Torino,7,+39 039148351,Politecnico di Torino
Via Abbagnale,Trento,10,+39 05730460944,Università di Trento 
Canale Mancini,Trento,9,+39 03631115196,Università di Trento 
